Model,Train Acc,Val Acc,Val F1,Train Time(s)
Gradient Boosting,0.9661492202075824,0.9655189902766306,0.9640374871836827,54.05714750289917
K-Nearest Neighbours,1.0,0.9299873929487458,0.9241933055854481,12.989872932434082
Random Forest,0.9121307080623834,0.9022301438942747,0.9101230454890059,131.4454050064087
Decision Tree,0.8590015758871158,0.8579967830283006,0.8746307440242505,14.416938543319702
Logistic Regression,0.7968935098809934,0.7985842426350186,0.8260970586520937,3.6403369903564453
